School Name,City,Type,Address,Website,Phone,Email,Description
"Shanghai Vanke Bilingual High School","Shanghai","Bilingual School",,"https://images.smartshanghai.com.cn/uploads/repository/2024/03/06/6af0af3a-2888-4fe8-b190-fd8e75d961be.png?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Shanghai Little Bridge School","Shanghai","School",,"https://images.smartshanghai.com.cn/uploads/repository/2024/04/19/ff079290-7fe0-4284-93f5-18cfc6b874e6.jpg?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Shanghai Vanke Pudong School","Shanghai","School",,"https://images.smartshanghai.com.cn/uploads/repository/2024/04/18/b244bbd5-9caf-4c59-8d09-3fa37617df56.jpg?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Dehong Shanghai International Chinese School","Shanghai","International School",,"https://images.smartshanghai.com.cn/uploads/repository/2024/04/18/f8a85e7c-8840-4807-8b77-0694247501bf.jpg?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Shanghai Arete Bilingual School","Shanghai","Bilingual School",,"https://www.smartshanghai.com/venue/31464/shanghai_arete_bilingual_school",,,
"Education

Bilingual Private School","Shanghai","Bilingual School",,"https://images.smartshanghai.com.cn/uploads/repository/2024/12/09/d34d050e-ce36-41a6-8c65-7677bfdfd458.jpg?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Bilingual Private Schools

Early Childhood & Kindergartens

Primary School","Shanghai","Bilingual School",,"https://images.smartshanghai.com.cn/uploads/repository/2022/01/17/25142167-3432-4edc-8af0-e8f406b71e8b.jpg?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Bilingual Private School","Shanghai","Bilingual School",,"https://images.smartshanghai.com.cn/uploads/repository/2024/12/09/d34d050e-ce36-41a6-8c65-7677bfdfd458.jpg?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Bilingual Private Schools

Primary Schools

Secondary School","Shanghai","Bilingual School",,"https://images.smartshanghai.com.cn/uploads/repository/2025/11/12/1f6b2d31-2fa3-4ee5-b492-3e60c5610287.png?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Primary Schools

Secondary Schools

Bilingual Private School","Shanghai","Bilingual School",,"https://images.smartshanghai.com.cn/uploads/repository/2022/01/17/bf5b30b4-e7a7-4fbe-9772-6c158757436b.jpg?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Secondary School","Shanghai","School",,"https://images.smartshanghai.com.cn/uploads/repository/2025/11/12/1f6b2d31-2fa3-4ee5-b492-3e60c5610287.png?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Primary Schools

Secondary School","Shanghai","School",,"https://images.smartshanghai.com.cn/uploads/repository/2025/11/12/1f6b2d31-2fa3-4ee5-b492-3e60c5610287.png?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Secondary Schools

Bilingual Private School","Shanghai","Bilingual School",,"https://images.smartshanghai.com.cn/uploads/repository/2022/01/17/bf5b30b4-e7a7-4fbe-9772-6c158757436b.jpg?x-oss-process=image/resize,w_260/quality,q_85/format,jpg",,,
"Explore all the International School","Shanghai","International School",,"https://www.international-schools-database.com/country/china/top-international-schools-in-china",,,
"First and Only LEED-Certified Healthy School","Shanghai","School",,,,,
"Preschool vs Kindergarten","Shanghai","Kindergarten",,,,,
"Finding Your Preschool","Shanghai","Kindergarten",,,,,
"We ex-
plore the British International School","Shanghai","International School",,,,,
"Shanghai Community
International School","Shanghai","International School",,,,,
"In-
ternational School","Shanghai","School",,,,,
"Date founded
Grade level
Curriculum
Languages taught

School","Shanghai","School",,,,"Alliance.asia@gwplc.com",
"Britannica International
School","Shanghai","International School",,,,,
"Grade level
Curriculum
Languages taught
School","Shanghai","School",,,,"pudong@ds-shanghai.de",
"German School
Shanghai Pudong and the German School","Shanghai","School",,,,,
"From a dual language programme in Early
Years to an IB Diploma in Senior School","Shanghai","School",,,,,
"Dulwich College Shanghai
Pudong
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","Higher Education",,,,,
"Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","School",,,,"admissions@dulwich-shanghaiminhang.cn",
"In every
Harrow International School","Shanghai","International School",,,,,
"Fantastic School","Shanghai","School",,,,,
"Harrow International School
Shanghai
Date founded
Grade level
Curriculum

Languages taught
School","Shanghai","International School",,,,"admissions@hqis.org",
"After
School","Shanghai","School",,,,,
"World
School","Shanghai","School",,,,,
"Hampton Roads
Academy School","Shanghai","School",,,,,
"Shanghai Hong Qiao
International School","Shanghai","International School",,,,"inscriptions@lyceeshanghai.com",
"Date founded
Grade level
Curriculum

Languages taught
School","Shanghai","School",,,,"admissions@hqis.org",
"Date founded
Grade level
Curriculum



Languages Taught
School","Shanghai","School",,,,"enquiries@naispudong.com",
"Nord Anglia International
School","Shanghai","International School",,,,"admissions@saschina.org",
"Pudong
Date founded
Grade level
Curriculum

Languages taught
School","Shanghai","School",,,,"admissions@saschina.org",
"MUN Director and high
school English Literature teacher at Shang-
hai American School","Shanghai","School",,,,,
"And as the MUN
Shanghai American School","Shanghai","School",,,,,
"Authorized IB Continuum World
School","Shanghai","School",,,,,
"SCIS is an authorized IB Continuum World School","Shanghai","School",,,,,
"Shanghai Community
International School
Date founded
Grade level
Curriculum

Languages taught
School","Shanghai","International School",,,,,
"Shanghai Community School","Shanghai","School",,,,,
"Shanghai Livingston
American School","Shanghai","School",,,,"info@laschina.org",
"Shanghai Livingston American
School","Shanghai","School",,,,"SUMMERSCHOOL@LASCHINA.ORG",
"Grade level
Curriculum

Languages taught
School","Shanghai","School",,,,"admissions@hqis.org",
"Shanghai Dutch School","Shanghai","School",,,,,
"Puxi
Date founded
Grade level
Curriculum

Languages taught

School","Shanghai","School",,,,,
"Neil Hopkin at The British International
School","Shanghai","International School",,,,,
"Mandarin
Extensive After School","Shanghai","School",,,,,
"Shanghai Singapore
International School","Shanghai","International School",,,,"admissions@wiss.cn",
"Yew Chung International
School","Shanghai","International School",,,,,
"ELG
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","School",,,,,
"Date founded
Grade level
Curriculum


Languages taught
School","Shanghai","School",,,,,
"HD Shanghai Bilingual
School","Shanghai","Bilingual School",,,,"sh.admissions@hdschools.org",
"English
Kindergarten","Shanghai","Kindergarten",,,,,
"HD Shanghai Bilingual School","Shanghai","Bilingual School",,,,,
"Huili School Shanghai
Date founded
Grade level
Curriculum



Languages taught
School","Shanghai","School",,,,"admissions.hss@huilieducation.cn",
"Integrated Curriculum
Secondary School","Shanghai","School",,,,"enquiry.shpd@ywies.com",
"Junior High School","Shanghai","School",,,,"nais-admission@north-america.cn",
"American High School","Shanghai","School",,,,"dmission@north-america.cn",
"Shanghai
North America International School","Shanghai","International School",,,,,
"North America International
School
Date founded
Grade level
Curriculum

Languages taught
School","Shanghai","International School",,,,,
"Canadian
Ontario High School","Shanghai","School",,,,,
"US High School","Shanghai","School",,,,,
"English
Shanghai Liaoyuan Bilingual School","Shanghai","Bilingual School",,,,,
"Shanghai Liaoyuan Bilingual School","Shanghai","Bilingual School",,,,,
"Shanghai Liaoyuan Bilingual
School","Shanghai","Bilingual School",,,,"service@liaoyuanedu.org",
"Our performing arts programme is
developed in collaboration with the Juilliard School","Shanghai","School",,,,,
"AP High School","Shanghai","School",,,,,
"IB High School","Shanghai","School",,,,,
"BC High School","Shanghai","School",,,,,
"Shanghai
United International School","Shanghai","International School",,,,,
"Shanghai United International
School","Shanghai","International School",,,,"admissions@luctonshanghai.com",
"Lucton School Shanghai
Date founded
Grade level
Curriculum
Languages taught
Tu i t i o n
School","Shanghai","School",,,,"_reception@jcid.cn",
"Elementary School","Shanghai","School",,,,,
"Jincai International School","Shanghai","International School",,,,,
"Shanghai Jincai International
School","Shanghai","International School",,,,,
"Middle & High School","Shanghai","School",,,,"admissions@smicschool.com",
"UWC Changshu China
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","School",,,,"info@uwcchina.org",
"Vanke Bilingual School
Date founded
Grade level
Curriculum

Languages taught
School","Shanghai","Bilingual School",,"http://vkbs.dtd-edu.cn",,"info@waiscz.com",
"Holistic Education
Kindergarten","Shanghai","Kindergarten",,,,,
"Wycombe Abbey International
School
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","International School",,,,"enquiry.shpd@ywies.com",
"Yew Wah International
Education School","Shanghai","International School",,,,,
"Apple Montessori
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","School",,,,"Yolanda@bsaschool.com",
"American-style Kindergarten","Shanghai","Kindergarten",,,,"a@bsaschool.com",
"Bright Start Academy
Date founded
Grade level
Curriculum

Languages taught
School","Shanghai","School",,,,"admissions@concordacademy.cn",
"Shanghai Concord Bilingual
School","Shanghai","Bilingual School",,,,,
"Concord Academy
Date founded
Grade level
Curriculum

Languages taught
School","Shanghai","School",,,,"stephenwalshe@fkis.com.cn",
"Fortune Kindergarten","Shanghai","Kindergarten",,,,"stephenwalshe@fkis.com.cn",
"Fortune Kindergarten
Date founded
Grade level
Curriculum

Languages taught
School","Shanghai","Kindergarten",,,,"admission@FGA-china.com",
"FGA Preschool","Shanghai","Kindergarten",,,,,
"Future Grow Academy
Date founded
Grade level
Curriculum





Languages taught
School","Shanghai","School",,,,"happybridge@outlook.com",
"Shanghai Happy Bridge Kindergarten","Shanghai","Kindergarten",,,,"happybridge@outlook.com",
"Happy Bridge Kindergarten","Shanghai","Kindergarten",,,,"happybridge@outlook.com",
"Huili Nursery Shanghai
Date founded
Grade level

Curriculum

Languages taught

School","Shanghai","School",,,,,
"SHINE Kindergarten
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","Kindergarten",,,,"enquiries@juliagabriel.com.cn",
"Nursery and Kindergarten","Shanghai","Kindergarten",,,,,
"Nursery & Kindergarten","Shanghai","Kindergarten",,,,,
"Julia Gabriel Centre
Date founded
Grade level


Curriculum
Languages taught
School","Shanghai","School",,,,"admissions.wgq@littlelions.cn",
"Melody International Bilingual Preschool","Shanghai","International School",,,,,
"Melody International Bilingual
Preschool","Shanghai","International School",,,,"melodypreschool@163.com",
"Little Scholar Academy
Date founded
Grade level
Curriculum





Languages taught
School","Shanghai","School",,,,"LWA@scholaracademy.org",
"Little Wonder Academy
Date founded
Grade level
Curriculum




Languages taught
School","Shanghai","School",,,,"communication@magnolia-kindergarten.com",
"Magnolia Kindergarten
is an official licensed
Kindergarten","Shanghai","Kindergarten",,,,"communication@magnolia-kindergarten.com",
"Magnolia Kindergarten","Shanghai","Kindergarten",,,,"communication@magnolia-kindergarten.com",
"At Magnolia Kindergarten","Shanghai","Kindergarten",,,,"info@montessori-sh.com",
"Magnolia Kindergarten
Date founded
Grade level
Curriculum


Languages taught
School","Shanghai","Kindergarten",,,,"info@montessori-sh.com",
"Mengya Montessori Home
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","School",,,,"lingshan-campus@mais-china.com",
"Montessori School of Shanghai
Date founded
Grade level

Curriculum

Languages taught
School","Shanghai","School",,,,,
"Montessori Academy
Xuhui Campus
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","School",,,,,
"Preschool and Kindergarten","Shanghai","Kindergarten",,,,,
"Morgan Rothschild Academy
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","School",,,,"158@mrwoodschool.com",
"Wood International
Preschool
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","International School",,,,"info@mykids-china.com",
"Wood School","Shanghai","School",,,,"info@mykids-china.com",
"MYKIDS Academy
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","School",,"http://sarnathkindergarten.com",,"ps@sarnathkindergarten.com",
"Sarnath Kindergarten","Shanghai","Kindergarten",,"http://sarnathkindergarten.com",,"ps@sarnathkindergarten.com",
"Sino European International
Private School","Shanghai","International School",,,,"shsclk01@163.com",
"Soong Ching Ling
Kindergarten
Date founded
Grade level
Curriculum
Languages taught
School","Shanghai","Kindergarten",,,,"zhaosheng@victoria.sh.cn",
"Columbia University
Reading & Writing Project Partner School","Shanghai","Higher Education",,,,,
"Victoria Shanghai Academy in Hong Kong is an IB World
School","Shanghai","School",,,,"admission@luc-china.co",
"LUC Preschool","Shanghai","Kindergarten",,,,,
"Date founded
Grade level
Curriculum





Languages taught
School","Shanghai","School",,,,"happybridge@outlook.com",
"Pre-
Kindergarten and Kindergarten","Shanghai","Kindergarten",,,,"o@tinytots.com.cn",
"Tiny Tots remains the only English-
language Kindergarten","Shanghai","Kindergarten",,,,"contact@oogieart.cn",
"Tiny Tots International
Pre-School & Kindergarten","Shanghai","International School",,,,"contact@oogieart.cn",
"Schools Index
International Schools
Britannica International School","Shanghai","International School",,,,,
"Hong Qiao International School","Shanghai","International School",,,,,
"Kang Chiao International School","Shanghai","International School",,,,"nais-admission@north-america.cn",
"North America International School","Shanghai","International School",,,,,
"Wycombe Abbey International School","Shanghai","International School",,,,,
"SHINE Kindergarten","Shanghai","Kindergarten",,,,"enquiries@juliagabriel.com.cn",
"Montessori School","Shanghai","School",,,,,
"Wood International Preschool","Shanghai","International School",,,,,
"Sino European International Private School","Shanghai","International School",,,,,
"Shanghai Victoria Kindergarten","Shanghai","Kindergarten",,,,,
"Tiny Tots International Preschool and Kindergarten","Shanghai","International School",,,,,
"International
Schools
Bilingual &
Local School","Shanghai","International School",,,,,
"Bilingual & Local School","Shanghai","Bilingual School",,,,,
"International Schools

 International School","Shanghai","International School",,,,,
"Languages taught
School","Shanghai","School",,,,"pudong@ds-shanghai.de",
"Languages taught

School","Shanghai","School",,,,"Alliance.asia@gwplc.com",
"Curriculum

Languages taught

School","Shanghai","School",,,,,
"Curriculum
Languages taught
School","Shanghai","School",,,,"pudong@ds-shanghai.de",
"Curriculum

Languages taught
School","Shanghai","School",,,,"admissions@hqis.org",
"Nord Anglia School - Shunyi - Nord Anglia School","Shanghai","School",,"https://www.nordangliaeducation.com/-/media/aprimo/5a19d1/image_shunyi_renderings_31_nas_sy_school-card_787x483/nas-shunyi.png?rev=f994d050635f4adf964c35106708a36e&extension=webp&hash=9C51DE201AAFC5EDE893272FBFE3FA1C",,,
"Dalian American International School","Shanghai","International School",,"https://www.nordangliaeducation.com/static/assets/icons/icon-location-pin.svg",,,
"Dalian Huamei School","Shanghai","School",,"https://www.nordangliaeducation.com/static/assets/icons/icon-location-pin.svg",,,
"Our China international schools

Day School","Shanghai","International School",,"https://www.nassuzhou.cn/",,,
"Day School","Shanghai","School",,"https://www.nassuzhou.cn/",,,
"Leman International School","Shanghai","International School",,"https://www.nordangliaeducation.com/bsb-shunyi",,,
"Aerial view of British School","Shanghai","School",,"https://www.nordangliaeducation.com/lis-chengdu",,,
"British School","Shanghai","School",,"https://www.nordangliaeducation.com/static/assets/icons/icon-location-pin.svg",,,
"Exterior of the Nord Anglia International School","Shanghai","International School",,"https://www.nordangliaeducation.com/bsn-nanjing",,,
"International School","Guangzhou","International School",,"https://www.internationalschoolsreview.com/author/missouri65807",,,
"Nord Anglia International School","Guangzhou","International School",,"https://whichschooladvisor.com/uae/search-articles/s437/brighton-college-dubai",,,
"New British School","Guangzhou","School",,"https://whichschooladvisor.com/uae/search-articles/s1197/dibber-nursery-al-barsha-south",,,
"Ash Mount School","Guangzhou","School",,"https://whichschooladvisor.com/uae/school-news/harrow-to-gordonstoun-every-new-school-opening-in-the-uae-in-2026-with-fees",,,
"Gordonstoun School","Guangzhou","School",,"https://whichschooladvisor.com/uae/search-articles/s1693/dubai-international-academy-town-square",,,
"American International School","Guangzhou","International School",,"https://www.international-schools-database.com/in/guangzhou/american-international-school-of-guangzhou",,,
"IB World School","Guangzhou","School",,"https://www.international-schools-database.com/account/guest/new",,,
"Britannia International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Utahloy International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"English language learning environment from Kindergarten","Guangzhou","Kindergarten",,"https://www.international-schools-database.com/in/guangzhou/utahloy-international-school-zengcheng-guangzhou",,,
"BASIS International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Canadian International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Welcome to the Canadian International School","Guangzhou","International School",,"https://cdn.international-schools-database.com/assets/schools/verified-badge.pink.sm-e034e71173bccc3ba2d428240856a83a4d122601f018152eebcad6e607eca7c1.png",,,
"Benenden Bilingual School","Guangzhou","Bilingual School",,"https://www.international-schools-database.com/account/guest/new",,,
"LEH International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"ISA Liwan International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"ISA Science City International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"EtonHouse International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Guangzhou Nanfang International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"TLC International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"QSI International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Garden International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Dongguan Xingzhi Vocational School","Guangzhou","School",,"https://www.international-schools-database.com/in/guangzhou/merchiston-academy-songshan-lake-guangzhou",,,
"Merchiston Castle School","Guangzhou","School",,"https://www.international-schools-database.com/account/guest/new",,,
"Yew Wah International Education School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Guangdong Country Garden School","Guangzhou","School",,"https://www.international-schools-database.com/account/guest/new",,,
"Francaise Internationale de Canton is a French International School","Guangzhou","International School",,"https://cdn.international-schools-database.com/assets/schools/verified-badge.pink.sm-e034e71173bccc3ba2d428240856a83a4d122601f018152eebcad6e607eca7c1.png",,,
"ISA Tianhe International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Guangzhou Huamei International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Huamei International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Primary School","Guangzhou","School",,"https://www.international-schools-database.com/account/guest/new",,,
"Secondary School","Guangzhou","School",,"https://www.international-schools-database.com/account/guest/new",,,
"Chinese High School Diploma and Canadian High School","Guangzhou","School",,"https://www.international-schools-database.com/account/guest/new",,,
"Clifford International School","Guangzhou","International School",,"https://www.international-schools-database.com/account/guest/new",,,
"Filter School","Guangzhou","School",,"https://www.international-schools-database.com/in/guangzhou/american-international-school-of-guangzhou",,,
"Bubble Kingdom International Kindergarten","Guangzhou","International School",,"https://www.teacherhorizons.com/static/mediav2/schools/5429/images/701215_smaller.webp",,,
"Nord Anglia School","Guangzhou","School",,"https://www.teacherhorizons.com/static/mediav2/schools/2330/images/854288_smaller.webp",,,
"Minxin Hong Kong School","Guangzhou","School",,"https://www.teacherhorizons.com/static/mediav2/schools/5288/images/497046_smaller.webp",,,
"ISA Wenhua Guangzhou Foreign Language School","Guangzhou","School",,"https://www.teacherhorizons.com/static/mediav2/schools/4007/images/534585_smaller.webp",,,
"Benenden School","Guangzhou","School",,"https://www.teacherhorizons.com/static/mediav2/schools/6385/images/783405_smaller.webp",,,
"Guangzhou Nanhu International School","Guangzhou","International School",,"https://www.teacherhorizons.com/static/mediav2/schools/4035/images/550117_smaller.webp",,,
"Middle School","Guangzhou","School",,"https://www.internationalschoolsguangzhou.com/articles/canadian-alberta-curriculum/",,,
"High School","Guangzhou","School",,"https://www.internationalschoolsguangzhou.com/articles/canadian-alberta-curriculum/",,,
"Independently funded
  - School","Guangzhou","School",,"https://www.internationalschoolsguangzhou.com/articles/advanced-placement-ap/",,,
"British School","Guangzhou","School",,"https://www.internationalschoolsguangzhou.com/wp-content/uploads/nordanglia-guangzhou.jpg",,,
"Guangzhou SCA School","Guangzhou","School",,"https://www.internationalschoolsguangzhou.com/wp-content/uploads/sca-guangzhou.jpg",,,
"Bond School","Guangzhou","School",,"https://www.internationalschoolsguangzhou.com/wp-content/uploads/bonds-guangzhou.jpg",,,
"Schools



Filters

School","Guangzhou","School",,"https://educationdestinationasia.com/school/jerudong-international-school-jis",,,
"American International School of Guangzhou Elementary School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/alcanta-international-college",,,
"China


Preschool","Guangzhou","Kindergarten",,"https://educationdestinationasia.com/school/american-international-school-of-guangzhou-elementary-school-ersha-campus",,,
"American International School of Guangzhou High School & Middle School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/american-international-school-of-guangzhou-elementary-school-ersha-campus",,,
"Clifford School","Guangzhou","School",,"https://educationdestinationasia.com/school-comparison/american-international-school-of-guangzhou-high-school-middle-school-science-park-campus",,,
"Guangzhou Japanese School","Guangzhou","School",,"https://educationdestinationasia.com/school-comparison/guangzhou-grace-academy",,,
"International French School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/guangzhou-japanese-school",,,
"ISA International School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/international-french-school-of-guangzhou",,,
"Primary Schools


Secondary School","Guangzhou","School",,"https://educationdestinationasia.com/school/clifford-school-international-program",,,
"Getting started
- Cheap Guangdong Private School","Guangzhou","Private School",,"https://cdn.globalso.com/bisguangzhou/banner61.jpg",,,
"Cheap Guangdong Private School - Cambridge International School

Britannia International School","Guangzhou","International School",,"https://cdn.globalso.com/bisguangzhou/banner61.jpg",,,
"Multicultural & AffordableBritannia International School","Guangzhou","International School",,"https://www.bisguangzhou.com/mobile-music-lessons/",,,
"Cheap Guangdong Private School","Guangzhou","Private School",,"https://cdn.globalso.com/bisguangzhou/banner61.jpg",,,
"American School","Guangzhou","School",,"https://www.bisguangzhou.com/british-international-private-schools/",,,
"Photo image of Britannia International School","Guangzhou","International School",,"https://www.youtube.com/channel/UCjVBktvqY4Y7pIT95ZX1avw?embeds_referring_euri=https%3A%2F%2Fwww.bisguangzhou.com%2F",,,
"Private School","Guangzhou","Private School",,"https://cdn.globalso.com/bisguangzhou/banner61.jpg",,,
"Amarican International Kindergarten","Guangzhou","International School",,"https://www.bisguangzhou.com/advanced-piano-lessons/",,,
"American University High School","Guangzhou","Higher Education",,"https://educationdestinationasia.com/school-comparison/american-international-school-of-guangzhou-high-school-middle-school-science-park-campus",,,
"Beanstalk International Bilingual School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/basis-international-school-shenzhen",,,
"Beanstalk International Kindergarten","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/beanstalk-international-bilingual-school",,,
"Century International School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/beanstalk-international-kindergarten",,,
"Beijing Aidi School","Guangzhou","School",,"https://educationdestinationasia.com/school-comparison/beiijing-21st-century-international-school-fairmont-international-education-group",,,
"Beijing BISS International School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/beijing-aidi-school",,,
"Beijing City International School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/beijing-biss-international-school",,,
"Beijing Collegiate Academy International School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/beijing-city-international-school",,,
"Beijing Haidian International School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/beijing-collegiate-academy-international-school",,,
"Beijing Huijia Private School","Guangzhou","Private School",,"https://educationdestinationasia.com/school-comparison/beijing-haidian-international-school",,,
"Beijing National Day School","Guangzhou","School",,"https://educationdestinationasia.com/school-comparison/beijing-international-bilingual-academy",,,
"Beijing Royal School","Guangzhou","School",,"https://educationdestinationasia.com/school/beijing-no-4-middle-school",,,
"Beijing Shuren-Ribet Private School","Guangzhou","Private School",,"https://educationdestinationasia.com/school-comparison/beijing-royal-school",,,
"Britannica International School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/beijing-world-youth-academy",,,
"Buena Vista Concordia International School","Guangzhou","International School",,"https://educationdestinationasia.com/school-comparison/britannica-international-school-shanghai",,,
"Canada Chengdu Shishi Secondary School","Guangzhou","School",,"https://educationdestinationasia.com/school-comparison/buena-vista-concordia-international-school",,,
"Canada Shandong Secondary School","Guangzhou","School",,"https://educationdestinationasia.com/school-comparison/canada-chengdu-shishi-secondary-school",,,
"China


Primary Schools


Secondary School","Guangzhou","School",,"https://educationdestinationasia.com/school/beiijing-21st-century-international-school-fairmont-international-education-group",,,
"Day & Boarding School","Guangzhou","School",,"https://world-schools.com/best-international-schools-in-guangdong/#tuition-fees-585461",,,
"Annual tuition fees at ISA Science City International School","Guangzhou","International School",,"https://world-schools.com/schools/isa-science-city-international-school/",,,
"World School","Guangzhou","School",,,,,
"Equipped with state-of-the-art facilities

Annual tuition fees at American International School","Guangzhou","International School",,"https://world-schools.com/schools/american-international-school-of-guangzhou/",,,
"From pre-school to primary School","Guangzhou","School",,,,,
"Emphasizes self-exploration & play

Annual tuition fees at EtonHouse International School","Guangzhou","International School",,"https://world-schools.com/schools/etonhouse-international-school-foshan/",,,
"WSGallery The British School","Guangzhou","School",,"https://world-schools.com/schools/etonhouse-international-school-foshan/",,,
"English

The British School","Guangzhou","School",,,,,
"Discover the best International School","Guangzhou","International School",,"https://world-schools.com/best-international-schools-in-guangdong/#content",,,
"Discover top International School","Guangzhou","International School",,,,,
"What Is a Bilingual School","Guangzhou","Bilingual School",,,,,
"Chinese High School","Guangzhou","School",,"https://www.toptutorjob.com/glossary",,,
"Wahaha Bilingual School","Guangzhou","Bilingual School",,,,,
"Shenzhen Japanese School","Guangzhou","School",,,,,
"French International School","Guangzhou","International School",,,,,
"Japanese Kindergarten","Guangzhou","Kindergarten",,,,,
"Bilingual School","Guangzhou","Bilingual School",,"https://www.toptutorjob.com/bilingual-schools-china#main-content",,,
"Adcote School","Guangzhou","School",,,,,
"ECNU Affiliated Bilingual School","Guangzhou","Bilingual School",,,,,
"Lucton School","Guangzhou","School",,,,,
"Mingyuan Bilingual High School","Guangzhou","Bilingual School",,,,,
"Beijing Experiment affiliated Foreign Language School","Guangzhou","School",,,,,
"Minhang Crosspoint High School","Guangzhou","School",,,,,
"Beijing Financial Street Runze School","Guangzhou","School",,,,,
"Shanghai Experimental Foreign Language School","Guangzhou","School",,,,,
"Beijing Haidian Foreign Language Shi Yan School","Guangzhou","School",,,,,
"Shanghai HD Bilingual School","Guangzhou","Bilingual School",,,,,
"Beijing Junyi Private School","Guangzhou","Private School",,,,,
"Shanghai Hongwen School","Guangzhou","School",,,,,
"Shanghai Jinmao Bilingual School","Guangzhou","Bilingual School",,,,,
"Shanghai Liaoyuan Bilingual School","Guangzhou","Bilingual School",,,,,
"Beijing SMIC Private School & Kindergarten","Guangzhou","Private School",,,,,
"Shanghai Shangde Experimental School","Guangzhou","School",,,,,
"Shanghai Starriver Billingual School","Guangzhou","School",,,,,
"Capital Normal University High School","Guangzhou","Higher Education",,,,,
"South West Weiyu Middle School","Guangzhou","School",,,,,
"HD Beijing School","Guangzhou","School",,,,,
"YK Pao School","Guangzhou","School",,,,,
"Veritas Prep School","Guangzhou","School",,,,,
"AIDI International School","Guangzhou","International School",,,,,
"American Lee Academy International School","Guangzhou","International School",,,,,
"Aurora Foreign Language Middle School","Guangzhou","School",,,,,
"Concordia International School","Guangzhou","International School",,,,,
"Beijing Bacui Bilingual School","Guangzhou","Bilingual School",,,,,
"Dehong Chinese International Chinese School","Guangzhou","International School",,,,,
"Beijing Bayi School","Guangzhou","School",,,,,
"Beijing Beanstalk International Kindergarten","Guangzhou","International School",,,,,
"Jian Ping High School","Guangzhou","School",,,,,
"Gezhi High School","Guangzhou","School",,,,,
"Beijing Central Conservatory Preparatory School","Guangzhou","School",,,,,
"Beijing Changping Xinxuedao Linchuan International School","Guangzhou","International School",,,,,
"Hangzhou-Bay Bilingual School","Guangzhou","Bilingual School",,,,,
